FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Wright,Andrew,PH Racing Club,MV40,00:51:46
2,Ramage,Steve,Hartfell HRC,M,00:56:30
3,Cox,Andrew,Moorfoot Runners,M,00:57:20
4,Wallace,Cameron,Unattached,M,00:58:47
5,Karpowicz,Marcin,Portobello RC,M,00:59:40
6,Murray,Keith,Teviodale Harriers,MV50,01:04:02
7,Hellam,Lorna,Hartfell HRC,F,01:04:49
8,Irving,Roger,Hartfell HRC,MV60,01:04:53
9,McKay,Craig,Unattached,MV60,01:07:02
10,Padley,Ian,Hartfell HRC,MV50,01:07:20
11,Pattinson,Robert,Unattached,MV50,01:08:03
12,Graham,Davie,Unattached,MV50,01:08:32
13,Morris,Emma,Motherwell AC,F,01:09:36
14,Murphy,Jason,Unattached,M,01:12:04
15,Ingram,Claire,Hartfell HRC,FV40,01:13:07
16,Ledlie,Colin,Carnethy HRC,MV50,01:15:13
17,Morris,Craig,Motherwell AC,M,01:15:13
18,Atkin,David,Unattached,MV60,01:15:43
19,Ramage,Elysha,Hartfell HRC,F,01:15:48
20,Huntley,Chris,Tinto Hill Runners,MV60,01:16:20
21,McKay,Lauren,Unattached,F,01:29:36
22,Barnfather,Ewan,Strathaven Striders,MV50,01:31:44
23,MacEwen,Alex,Edinburgh AC,MV60,01:33:04
24,Robson,John,Hartfell HRC,MV60,01:36:59
25,Morton,Alex,Unattached,M,01:37:47
26,Robson,Jean,Hartfell HRC,FV60,0.082291667
