FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Griffin,Sam,Aberdeen AAC,M,00:33:20
2,Wilkinson,Marc,Lauderdale Limpers RC,M,00:34:30
3,Stewart,Iain,Westerlands CCC,M40,00:35:13
4,Lavin,Daniel,Carnethy ,M,00:35:26
5,MacNeil,Sam,Edinburgh AC,M,00:35:31
6,Muir,Jonny,Carnethy ,M,00:35:36
7,Williams,Colin,Moorfoot Runners,M40,00:36:57
8,Lockie,Duncan,Teviotdale Harriers,M,00:36:59
9,Bandeen,Sam,Unattached,M,00:37:22
10,Riggans,Liam,Carnethy ,M,00:38:37
11,Gilmour,Andrew David,Unattached,M40,00:39:35
12,Ker,Gregor,Lauderdale Limpers RC,M,00:40:28
13,Smith,Brian,Moorfoot Runners,M40,00:42:37
14,Thomas,Ben,Unattached,M40,00:42:39
15,Watson,Vivien,Unattached,F,00:44:34
16,Turner,Judith,Falkland Trail Runners,F40,00:44:43
17,Beveridge,Keith,Lochaber AC,M40,00:45:51
18,Scott,Derek,Teviotdale Harriers,M,00:45:58
19,Molero,Luis,Lauderdale Limpers RC,M40,00:46:54
20,Purves,James,Gala Harriers,M60,00:47:47
21,Thomson,Jill,Unattached,F,00:47:57
22,Mcaleese,Rachel,Unattached,F,00:49:09
23,Pate,Lori,Lauderdale Limpers RC,F,00:49:16
24,Sutherland,Graeme,Lauderdale Limpers RC,M60,00:49:19
25,Coltman,Alan,Teviotdale Harriers,M50,00:50:01
26,Jones,Neil,Dunbar RC,M50,00:51:40
27,Hughes,Kirsty,Teviotdale Harriers,F40,00:51:43
28,Davidson,Iain,Girvan Harriers,M60,00:52:00
29,Knox,Lindsey,Teviotdale Harriers,F60,00:52:58
30,Campbell,Ian,HBT,M50,00:53:37
31,Series,Peggy,Unattached,F40,00:54:39
32,McAdam,Pauline,Teviotdale Harriers,F60,00:55:45
33,Birch,Frank,Lauderdale Limpers RC,M60,00:56:35
34,Leslie,Miles,Unattached,M50,00:56:48
35,Hastings,Ron,Teviotdale Harriers,M60,01:05:13
