FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Richards,Chris,Cumbria,M,00:19:09
2,Tosh,Samuel,Carnethy HRC,M,00:21:02
3,Bolton,Harry,Cumbria,M,00:21:10
4,Regan,Robin,Cumbria,M,00:22:03
5,Gilmore,Iain,Carnethy HRC,M,00:22:28
6,Morris,Ross,Westerlands CCC,M,00:23:32
7,Horne,Arran,Westerlands CCC,M,00:23:36
8,Cox,Andrew,Moorfoot Runners,M40,00:23:41
9,Marshall,Brian,Haddington,M50,00:24:02
10,Lavin,Daniel,Moorfoot Runners,M,00:24:10
11,Phillips,George,Westerlands CCC,M,00:24:44
12,Barber,Zoë,Shettleston Harriers,F,00:26:06
13,Smith,Alan,Deeside Runners,M60,00:26:15
14,Gilmore,Neil,Carnethy HRC,M60,00:27:03
15,Blackett,Joe,Dark Peak ,M50,00:27:09
16,Anderson,Adam,Hartfell Hill Runners,M50,00:27:28
17,Weir,Jonathan,Unattached,M40,00:27:50
18,MacDonald,Euan,Tinto Hill Runners,M,00:27:58
19,McCarron,Chris,Glasgow Uni H&H,M,00:28:01
20,Reid,Don,Westerlands CCC,M60,00:28:02
21,Wilson,Rob,Penicuik Harriers,M50,00:28:08
22,Brodie,Stuart,Ochil Hill Runners,M40,00:28:51
23,Thomas,Jamie,Dunbar Athletics Club,M40,00:28:57
24,Malcolmson,Craig,Hartfell Hill Runners,M50,00:29:03
25,Turner,Simon,Tinto Hill Runners,M40,00:29:35
26,McKiddie,Christopher,Westerlands CCC,M40,00:30:13
27,Gorgas,Steffan,Westerlands CCC,M50,00:32:34
28,Stewart,Alister,Tinto Hill Runners,M50,00:33:10
29,Greens,Daniel,Penicuik Harriers,M,00:33:15
30,Furse,Chris,Westerlands CCC,M50,00:33:52
31,MacLeod,Murdo,Westerlands CCC,M70,00:36:02
32,Innes,Nicola,Carnethy HRC,F50,00:36:57
33,Guthrie,Neil,Carnethy HRC,M40,00:37:29
34,Seeds,Michael,Unattached,M50,00:37:52
35,Blain,Benjamin,Unattached,M50,00:38:52
36,Howie,Brian,Carnethy HRC,M70,00:39:40
37,Kemp,Sadie,Penicuik Harriers,F40,00:40:55
38,Smitt,Harry,Tinto Hill Runners,M60,00:43:22
39,Steven,Robert,Unattached,M40,00:45:42
40,Robson,J,Hartfell Hill Runners,M60,00:47:56
41,Robson,Natalie,Unattached,F,00:54:54
42,Blain,Oscar,Unattached,M,00:56:50
43,Steven,Arlene,Unattached,F,00:57:24
