FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Jones,Kris,Dundee Hawkhill,M,01:17:15
2,Yells,John,Lochaber AC,M,01:20:27
3,Naylor,Donald,HBT,M50,01:22:44
4,Gilmore,Andrew,Highland Hill Runners,M,01:24:47
5,Mcinally,Ralph,Unattached,M,01:25:10
6,Sedman,Eliot,Carnethy ,M40,01:29:37
7,Pringle,Stuart,Deeside Runners,M40,01:29:48
8,Marshall,Brian,Haddington Running Club,M50,01:31:23
9,Fraser,Gary,Ochil Hill Runners,M50,01:32:58
10,Ashworth,James,Ochil Hill Runners,M50,01:33:00
11,Burrows,Matt,Unattached,M,01:35:59
12,Gilmore,Iain,Carnethy ,M,01:36:38
13,Buglass,Donnie,Shettleston Harriers,M,01:37:29
14,Hemmings,Anthony,Carnethy ,M40,01:37:41
15,Darlington,Anwen,Dundee Road Runners,F,01:37:48
16,Bell,Mark,Dundee Road Runners,M40,01:38:14
17,Shaw,Ruairidh,Lochaber AC,M,01:40:29
18,Wheeler,Mark,Hamilton Harriers,M40,01:40:43
19,Towersey,Gemma,Penicuik Harriers,F,01:42:17
20,Hanson,Beth,Ambleside AC,F,01:43:21
21,Wilson,Rob,Penicuik Harriers,M50,01:44:48
22,Oldham,Veronique,Cosmic Hillbashers,F50,01:47:29
23,O'Neil,Zac,Wellingborough AC,M40,01:47:39
24,Gilmore,Neil,Carnethy ,M50,01:48:51
25,Borgeal,Romain,Dundee Hawkhill,M,01:49:15
26,Jarvis,James,HBT,M50,01:51:20
27,MacDonald,Ally,Bellahouston Roadrunners,M50,01:52:27
28,Plowman,Russell,Unattached,M40,01:53:35
29,Templeman,Simon,Ochil Hill Runners,M50,01:54:18
30,Blackley,Lisa,Unattached,F40,01:54:34
31,White,David,Helm Hill Runners,M50,01:57:38
32,Dick,Paul,Pitreavie AAC,M40,01:58:03
33,White,Georgia,Lochaber AC,F,01:58:13
34,Sutherland,Jamie,Shettleston Harriers,M,02:01:03
35,Parker,Ross,Unattached,M50,02:01:16
36,Entwistle,Marie,Deeside Runners,F40,02:02:21
37,Thomson,Monica,Strathearn Harriers,F40,02:04:24
38,Watson,Nicola,Strathearn Harriers,F50,02:05:32
39,McPartland,Frank,Haddington Running Club,M60,02:06:46
40,Halliday,William,Mid Argyll Tri,M60,02:09:07
41,Dick,Alan,Cosmic Hillbashers,M50,02:10:33
42,King,Gillian,Cosmic Hillbashers,F40,02:10:34
43,Watson,Graeme,Forfar Road Runners,M60,02:15:36
44,Thomson,Iain,Strathearn Harriers,M60,02:17:28
45,MacEwan,John,Ochil Hill Runners,M50,02:22:41
46,Duncan,Davie,Ochil Hill Runners,M60,02:39:59
47,Tsoutis,Ioannis,Cosmic Hillbashers,M40,02:51:03
