FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Walker,Neil,Altrincham,M40,00:36:43
2,Callander,Alastair,Westerlands CCC,M,00:36:51
3,Mann,Isaac,Keith & District AC,M,00:37:19
4,Gillies,Jenny,Unattached,F40,00:37:24
5,Preiss,Alastair,Ochil HR,M40,00:38:07
6,Bain,Martin,Moray Road Runners,M40,00:38:38
7,Wright,Martin,Unattached,M,00:38:54
8,Williamson,Jason,Cosmics,M50,00:39:18
9,Carmichael,Martin,Unattached,M40,00:39:34
10,Cowan,David,Fife AC,M50,00:41:08
11,Joyce,Michelle,Unattached,F,00:41:27
12,Campbell,Eilidh,Deeside Runners,F,00:42:05
13,O'Loughlain,Liam,Unattached,M50,00:43:48
14,Duncan,David,Ochil HR,M60,00:44:18
15,Angus,Gerald,Keith & District AC,M60,00:46:42
16,Kliskey,Sam,Unattached,M,00:47:53
17,Rattray,Ed,Dufftown JS,M50,00:48:14
18,Kliskey,Harris,Unattached,M,00:55:37
19,Duffus,Ivor,Unattached,M50,00:56:45
20,Williams,Rupert,Unattached,M60,00:59:53
