FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Cox,Andrew,Moorfoot Runners,M,00:25:28
2,Kerr,Michael,Unattached ,M,00:27:25
3,Whitelaw,Mark,Annan & District AC,M40,00:28:05
4,Longmoor,Rory,Unattached ,M50,00:28:49
5, Jarzyna,Alex,Muckle Town Joggers,M40,00:28:54
6,Irving,Roger,Annan & District AC,M50,00:30:06
7,Allen,Rosie,Annan & District AC,F40,00:30:31
8,Malcolmson,Craig,Annan & District AC,M50,00:30:32
9,Jeffries ,Neil,Dumfries & Galloway Tri Club,M50,00:30:54
10,Munro,Nick,Annan & District AC,M,00:32:40
11,Jeffries,Lesley,Dumfries Harriers,F40,00:36:52
12, Priestley ,Janet,Annan & District AC,F50,00:37:06
13, Luebke,Emma,Dumfries Running Club,F,00:38:25
14, Lucas,Amy,Dumfries Running Club,F,00:38:42
15, Campbell,Ian,HBT,M50,00:38:51
16, Kerr,Emma,Unattached ,F,00:39:17
17, Seddon,Artemis,Jog Moffat,F,00:39:17
18, Creighton ,Alan,Annan & District AC,M60,00:40:32
19, Kerr,Billy,Unattached ,M50,00:40:32
