FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Adkin,Jacob,Moorfoot Runners,M,00:22:38
2,Sullivan,Matthew,Moorfoot Runners,M,00:26:54
3,Welsh,Irvine,Gala Harriers,M,00:27:51
4,Ross,Kieron,Unattached,MV,00:28:11
5,Cox,Andrew,Moorfoot Runners,MV,00:28:30
6,Marshall,Brian,Haddington,MV,00:28:38
7,Mattocks,Craig,Carnethy HRC,MV,00:29:02
8,Harradine,Greg,Unattached,M,00:29:47
9,Williams,Paul,Carnethy HRC,M,00:30:29
10,Hall,Katie,Unattached,F,00:30:35
11,Carson,Noah,Unattached,M,00:31:15
12,Williams,Colin,Moorfoot Runners,MV,00:31:19
13,Eades,Mairi,Edinburgh Uni H&H,F,00:32:05
14,Patterson,Isla,Gala Harriers,F,00:32:24
15,Robson,Scott,Carnethy HRC,M,00:33:20
16,Tait,Alan,Motherwell AC,MV,00:33:29
17,Overman,Marc,Unattached,M,00:33:33
18,Bell,Iain,Gala Harriers,MV,00:33:42
19,Johnson,Bob,Gala Harriers,MV,00:33:51
20,Jones,Steve,Unattached,M,00:34:13
21,Jenkins,Kate,Gala Harriers,FV,00:34:26
22,Rutherford,Mike,Lomond Hill Runners,MV,00:35:19
23,McKiddie,Christopher,Unattached,MV,00:35:32
24,Pryde,Gordon,Lomond Hill Runners,M,00:37:17
25,Janus,Madga,Unattached,F,00:37:34
26,Misak,Jennifer,Moorfoot Runners,FV,00:37:58
27,Cutler,Kane,Unattached,M,00:38:43
28,Lunn,Poppy,Gala Harriers,F,00:39:29
29,Lunn,Gill,Gala Harriers,FV,00:39:42
30,Dalgliesh,Ross,Gala Harriers,MV,00:39:50
31,Dalgliesh,Lisa,Gala Harriers,F,00:40:05
32,Holt,Martin,Moorfoot Runners,MV,00:42:02
33,Gieggrich,Bruno,Unattached,M,00:44:55
34,Lockie,Paul,Teviotdale Harriers,MV,00:46:03
35,Hendry,Charlotte,Gala Harriers,FV,00:47:40
