FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Dunn,James,Corstorphine AAC,M,01:21:45
2,MacPherson,Chris,Green Runners,M,01:27:41
3,Watts,Kieran,Ochils,M,01:30:03
4,Davis,Andrew,Ochils,M40,01:32:01
5,Duncan,Eric,Highland Hill Runners,M50,01:36:42
6,Allsop,David,Kirkintilloch Olympians,M50,01:36:47
7,Hughes,Richie,Nortumberland FR,M,01:37:24
8,Dobson,Jacob,Unattached,M,01:42:02
9,Mackinnon,Gordon,BNRA,M40,01:44:22
10,Thomas,Jamie,Dunbar AC,M40,01:44:58
11,Oldham,Kirsty,Unattached,F,01:45:41
12,Foster,Paul,Westerlands CCC,M,01:46:03
13,Scheelings,Gerben,Carnethy,M,01:46:27
14,Darling,Christopher,Lomonds,M40,01:46:40
15,Oldham,Veronique,Cosmics,F50,01:47:18
16,Robertson,Shona,Shettleston Harriers,F50,01:47:51
17,Christian,Donald,Penicuik Harriers,M40,01:47:53
18,Preiss,Alistair,Ochils,M50,01:49:49
19,Coombs,Richard,Ochils,M50,01:54:41
20,McKiddie,Chistopher,Westerlands CCC,M40,01:54:50
21,Sweeney,Matthew,Ochils,M40,01:55:16
22,Johnstone,Terry,ESOC,M50,02:02:13
23,Pryde,Gordon,Lomonds,M60,02:02:20
24,Westwell,Amy Tait,Falkland TR,F,02:02:35
25,Friedrich,Juliane,Penicuik Harriers,F,02:06:49
26,Frazer,Mitchell,Unattached,M40,02:09:27
27,Martin,Claire,Unattached,F,02:11:55
28,Graham,Alan,Ochils,M50,02:14:27
29,Dunn,Sandy,E K Fitness,M60,02:15:08
30,Robertu,Grant,E K Fitness,M50,02:15:08
31,Kirkpatrick,Elapeth,E K Fitness,F50,02:15:09
32,Dunleavey,David,Badgers,M60,02:27:01
33,Asimaki,Zoey,Ochils,F,02:27:27
34,Kellock,Celeste,Ochils,F,02:29:41
35,Watkins,Huw,Unattached,M,02:30:53
36,Tourres,Pascal,Unattached,M50,02:31:55
37,Floquet,Claire,Unattached,F40,02:31:55
38,Atfinson,Duncan,Unattached,M50,02:33:17
39,Kelman,Martin,Unattached,M50,02:44:00
40,Fowler,Paul,Ochils,M50,02:45:15
41,Ure,Jennifer,Unattached,F40,02:45:15
