FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Turnbull,Jonathan,Strathearn Harriers,M40,03:51:17
2,Taylor,Lewis,Carnethy HRC,M,03:54:06
3,Gordon,Ryan,Stonehaven RC,M40,03:59:05
4,Day,Tom,Keswick AC,M,04:02:52
5,Gillespie,Gregor,Unattached,M,04:07:49
6,Winter,Stephen,Shettleston Harriers,M40,04:08:37
7,Adams,David,Unattached,M40,04:13:51
8,Bloomfield,Harry,Unattached,M,04:15:56
9,Peters,Ella,Westerlands CCC,F,04:17:34
10,Riggans,Liam,Carnethy HRC,M40,04:22:22
11,Marshall,Philip,Unattached,M40,04:23:01
12,Pitman,Luke,Unattached,M,04:23:47
13,Irvine,Clara-Jane,Unattached,F,04:24:12
14,Henderson,Walter,Cumbernauld,M50,04:24:18
15,Mitchell,Rory,Carnethy HRC,M40,04:28:05
16,Watt,Graeme,Elvet Striders,M40,04:28:52
17,Kerridge,Donald,Deeside Runners,M50,04:29:21
18,Martin,Craig,Capricorn Mountaineering Club,M,04:35:02
19,Sealy,Alan,Deeside Runners,M50,04:35:17
20,Murphy,Iain,Cambuslang Harriers,M,04:37:18
21,Borgeal,Romain,Dundee Hawkhill,M,04:38:57
22,Torrance,Peter,Deeside Runners,M40,04:38:59
23,Newton,Matt,Kinross RR,M40,04:39:37
24,O'Neill,Owen,Westerlands CCC,M40,04:40:52
25,Spinks,Nicky,Dark Peak,F50,04:44:58
26,Johnston,Mark,Carnethy HRC,M50,04:45:47
27,Little,Rachel,Insch TRC,F40,04:48:52
28,Gilmore,Iain,Carnethy HRC,M,04:49:30
29,Wheeler,Mark,Hamilton Harriers,M40,04:55:15
30,Horsfall,Tim,Unattached,M40,04:55:18
31,Junor,Martin,Unattached,M40,04:55:22
32,Vassallo,Alexander,Dundee Hawkhill,M,04:56:36
33,Plesko,Michal,Unattached,M,04:57:15
34,Gillies,Sam,Carnethy HRC,M,04:57:40
35,Giddins,Rory,Unattached,M,04:58:04
36,Robertson,Hugh,Insch TRC,M40,04:58:09
37,Christian,Donald,Penicuik Harriers,M40,04:58:23
38,Roberts,Mark,HBT,M50,05:01:16
39,Cardwell,Morgan,Lanark Triathlon Club,M,05:03:32
40,Attridge,Will,Deeside Runners,M,05:05:54
41,Henderson,Scott,Westerlands CCC,M40,05:09:28
42,Train,Billy,Unattached,M,05:12:02
43,Roberts,Grant,EK Fitness,M,05:14:29
44,Pryde,Gordon,Lomonds,M60,05:18:22
45,Bryan,David,East Sutherland AC,M50,05:19:09
46,Chapman,Andy,Cosmics,M40,05:20:58
47,Smith,Eleanor,Fife AC,F40,05:21:06
48,Ingram,Richard,Cosmics,M50,05:22:08
49,Smith,Verity,Unattached,F,05:24:02
50,Adams-Hendry,Nicola,Garscube Harriers,F40,05:28:18
51,Cameron,Angus,Lochaber AC,M,05:33:08
52,Disher,Amy,Lochaber AC,F,05:33:13
53,Trim,Richard,Unattached,M50,05:33:38
54,Templeman,Simon,Ochil Hill Runners,M50,05:34:18
55,Wise,Helen,Carnethy HRC,F40,05:37:15
56,Macgillivray,Mark,Stonehaven RC,M50,05:39:33
57,Hamilton,Ian,Cosmics,M60,05:40:53
58,Harris,Greg,Unattached,M40,05:45:42
59,Clarke,Catriona,Unattached,F40,06:04:57
60,Black,Corri,Cosmics,F50,06:19:12
61,Shirlaw,James,Unattached,M40,06:20:28
62,Kirkpatrick,Elspeth,EK Fitness,F50,06:48:56
63,Dunn,Sandy,EK Fitness,M60,06:48:56
