FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Stewart,Gregor,Westerlands CCC,M,00:49:18
2,Graves,Alastair,Ochil Hill Runners,M,00:49:33
3,Grant-Pantrey,Chris,Shettleston Harriers,M40,00:50:50
4,Lennox,Jethro,Shettleston Harriers,M40,00:50:52
5,Wainwright,Sam,Ochil Hill Runners,M,00:51:18
6,Dickson,Fraser,Unattached,M,00:51:21
7,Crutchfield,Stuart,Westerlands CCC,M,00:51:36
8,Mckeeman,Iain,Unattached,M,00:52:29
9,McCall,Andrew,Greenock Glenpark H,M,00:53:00
10,Marshall,Brian,Haddington,M50,00:53:11
11,Morris,Ross,Westerlands CCC,M,00:54:31
12,Gard-Storry,Bobby,Ochil Hill Runners,M,00:54:53
13,Ashworth,James,Ochil Hill Runners,M50,00:55:57
14,Atkinson,Owen,Greenock Glenpark H,M40,00:56:45
15,Beresford,Will,Westerlands CCC,M,00:56:54
16,Allsop,David,Kirkintilloch Olympians,M40,00:57:09
17,McAlinden,Niall,Westerlands CCC,M,00:57:13
18,Jung,David,Unattached,M,00:57:15
19,Buchanan,Catriona,Ochil Hill Runners,F,00:57:15
20,Adams,David,Unattached,M,00:57:32
21,Upson,Chris,Cambuslang Harriers,M50,00:57:55
22,Eisen,Luis,Unattached,M,00:58:17
23,Anderson,Ross,Westerlands CCC,M,00:59:00
24,Riggans,Liam,Carnethy,M,00:54:14
25,Mooney,Edel,Ochil Hill Runners,F40,00:59:23
26,Edenborough,Calum,Unattached,M,01:00:19
27,Hassan,Robbie,Ochil Hill Runners,M,01:00:35
28,Brodie,Stuart,Ochil Hill Runners,M40,01:00:50
29,Theaker,Damien,Westerlands CCC,M60,01:01:08
30,Collins,Ian,Westerlands CCC,M40,01:01:20
31,Anderson,Micky,Unattached,M50,01:01:29
32,Thurlbeck,Ian,Westerlands CCC,M50,01:01:42
33,Stuart,Meg,Westerlands CCC,F,01:02:41
34,Munro,Graham,Lochaber AC,M50,01:03:37
35,Cross,Rich,Unattached,M40,01:04:14
36,Callender,James,Westerlands CCC,M,01:04:39
37,Reid,Don,Westerlands CCC,M60,01:06:03
38,Kelly,Graham,Westerlands CCC,M50,01:07:19
39,Fleming,Rod,Westerlands CCC,M40,01:08:36
40,Furse,Chris,Westerlands CCC,M50,01:08:50
41,Gallagher,Brian,Unattached,M50,01:08:52
42,Mason,David,Linlithgow AC,M50,01:09:11
43,Donnelly,John,Ochil Hill Runners,M50,01:09:21
44,Nixon,Daniel,Westerlands CCC,M,01:09:38
45,Ward,Austrine,Kirkintilloch Olympians,F40,01:09:44
46,Dickson,David,Westerlands CCC,M60,01:10:05
47,Findlay-Robinson,Rachel,Westerlands CCC,F,01:10:50
48,Duncan,David,Ochil Hill Runners,M60,01:10:53
49,Mitchell,Neill,Fife AC,M50,01:11:07
50,Halliday,William,Mid Argyle Triathlon,M60,01:11:06
51,Mulholland,Arthur,East Kilbride AC,M50,01:11:13
52,Dickson,Laura,Unattached,F,01:12:14
53,Wright,Emma,West End RR,F,01:12:15
54,Davies,Jason,Ochil Hill Runners,M50,01:12:52
55,Fitzpatrick,Pat,Ochil Hill Runners,M70,01:13:18
56,Mabon,Iain,Unattached,M40,01:13:22
57,Harrison,David,Blanerunners,M40,01:14:48
58,Boyer,Alistair,Westerlands CCC,M,01:15:23
59,Wright,Pauline,Bellahouston RR,F50,01:18:28
60,Melville,Craig,Blanerunners,M50,01:22:11
61,Fullwood,Andrew,Westerlands CCC,M50,01:27:57
62,McGreevy,Kay,Unattached,F50,01:28:17
63,Fowler,Paul,Ochil Hill Runners,M50,01:31:33
64,Lammers,Wiebke,Westerlands CCC,F40,01:33:02
65,Shields,Robert,Mliburn Harriers,M70,01:42:58
