FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Gilmore,Andrew,Highland Hill Runners,M,00:28:49
2,Smith,Angus,Inverness Harriers,MU20,00:29:45
3,Anthony,Al,Ochil Hill Runners,M40,00:30:04
4,Mowbray,Phil,HBT,M40,00:30:14
5,Nagle,Pavel,Drumguish TT,MU20,00:30:43
6,Llewelynn,Andy,Lochaber AC,M,00:30:46
7,Drysdale,Simon,Lochaber AC,M,00:31:01
8,Malcolm,Stuart,Highland Hill Runners,M50,00:32:16
9,Lamont,Donald,Lochaber AC,M,00:35:44
10,Duncan,David,Ochil Hill Runners,M60,00:41:06
11,Mowbray,Freya,Lasswade AC,FU15,00:41:42
12,Low,Matthew,Shettleston Harriers,M40,00:41:05
13,Watson,Helen,Drumguish TT,F40,00:42:38
14,Pott,Tim,Forres Harriers,M50,00:43:04
15,Cameron,Calum,Lochaber AC,M40,00:43:18
16,Donghi,Enrico,Newtonmore,M,00:44:13
17,Mowbray,Eilidh,Lasswade AC,FU13,00:44:59
18,Gorman,Maisy,Westerlands CCC,FU13,00:46:32
19,Walker,Tom,Drumguish TT,M40,00:47:42
20,Cameron,Shaz,Cairngorm Runners,F40,00:49:19
21,Stewart,Helen,Newtonmore,F,00:50:01
22,Cassidy,Genevieve,Aviemore,FU13,00:50:22
23,MacDonald,Willie,Lochaber AC,M60,00:51:12
24,Tighe,Mick,Lochaber AC,M70,00:51:35
25,Stewart,Kirsty,Bellahouston Harriers,F40,00:54:18
26,Tighe,Kath,Lochaber AC,F50,00:55:51
27,MaDonald,Ashley,Lochaber AC,F,01:00:12
28,Bray,Lorna,Kincraig,F40,01:02:40
29,Paul,Brenda,Westerlands CCC,F40,01:02:40
