Year,Pos,Name,Club,Cat,Time
2004,1,N Sharp,Ambleside AC,M,2:42:49
2004,2,C Donnelly,Cambuslang Harriers,M40,2:43:28
2004,3,J Lennox,Shettleston,M,2:44:39
2004,4,S Whitlie,Carnethy,M40,2:47:56
2004,5,T Austin,Dark Peak,M,2:50:01
2004,6,M Fowler,Pennine Fell Runners,M40,2:50:54
2004,7,A Davies,Carnethy,M40,2:52:51
2004,8,A Liston,Fife AC,M,2:54:11
2004,9,C Watson,Pitreavie,M,2:54:47
2004,10,G Bartlett,Forres Harriers,M,2:57:04
2004,11,A Kitchin,Lothian,M,2:57:32
2004,12,C Fray,Pennine Fell Runners,M40,2:57:50
2004,13,M Roberts,Borrowdale FR,M40,2:58:42
2004,14,J Duncan,Cosmics,M,2:59:02
2004,15,T Brindley,Carnethy,F,2:59:12
2004,16,S Bolland,Bowland Fell Runners,M,2:59:19
2004,17,A Robertshaw,Otley AC,M,2:59:27
2004,18,A Keith,Hunters Bog Trotters,M40,2:59:41
2004,19,A Hart,Hunters Bog Trotters,M,3:01:18
2004,20,P Vale,Mercia,M,3:01:57
2004,21,M Gorman,Westerlands,M,3:02:14
2004,22,S Birkinshaw,Northumberland FR,M,3:02:23
2004,23,A Smith,Deeside Runners,M40,3:03:08
2004,24,D Mcgonigle,Shettleston,M40,3:04:38
2004,25,M Patterson,Shettleston,M40,3:04:38
2004,26,C Reade,Bowland Fell Runners,M40,3:07:27
2004,27,L Dowthwite,Bowland Fell Runners,M40,3:07:40
2004,28,A Ward,Carnethy,M40,3:08:50
2004,29,D Crowe,Shettleston,M40,3:08:58
2004,30,J Mykura,Carnethy,F,3:09:45
2004,31,B Minto,Hunters Bog Trotters,M40,3:10:07
2004,32,C Pryce,Cosmics,M40,3:11:11
2004,33,S Simpson,Ochil HR,M,3:11:38
2004,34,S Barrie,Carnethy,M,3:11:57
2004,35,C Godfree,Lothian,M,3:12:14
2004,36,D Rodwell,Westerlands,M,3:12:45
2004,37,J Kennedy,Maryhill,M40,3:12:54
2004,38,C Upson,Westerlands,M40,3:13:08
2004,39,S Sweeney,Bowland Fell Runners,M40,3:13:46
2004,40,T Werrett,Mercia,M,3:14:19
2004,41,J Thin,Carnethy,M,3:14:49
2004,42,C Hutt,City Of Edinburgh AC,M,3:14:50
2004,43,D Spedding,Keswick,M50,3:15:16
2004,44,L Warburton,Bowland Fell Runners,M40,3:15:34
2004,45,B Smith,Standard Life,M40,3:16:57
2004,46,D Scott,Ochil HR,M40,3:17:26
2004,47,A Wilson,Dundee Road Runners,M,3:17:39
2004,48,D Troman,Keswick,M,3:17:50
2004,49,M Roberts,Hunters Bog Trotters,M,3:18:47
2004,50,S Newman,Calderglen Harriers,F40,3:19:51
2004,51,L Grundy,Northumberland FR,M,3:20:07
2004,52,J Blair-fish,Carnethy,M50,3:20:41
2004,53,K Jenkins,Carnethy,F,3:20:43
2004,54,B Marshall,H.e.l.p.,M,3:20:58
2004,55,S Bennet,Carn,M40,3:21:26
2004,56,C Eades,Lothian,M,3:21:31
2004,57,G Macinnes,Carnethy,M,3:21:42
2004,58,N Taylor,Girvan AAC,M50,3:21:50
2004,59,J Rathjen,Hunters Bog Trotters,M,3:22:53
2004,60,G Pryde,Lomond Hill Runners,M40,3:23:36
2004,61,D Tait,Dark Peak,M50,3:24:19
2004,62,C Oliphant,Carnethy,M,3:24:30
2004,63,M Laney,Clayton-le-moors,F50,3:24:55
2004,64,S Gorgas,Westerlands,M,3:24:58
2004,65,K Davison,Dark Peak,F,3:25:32
2004,66,M Hulme,Corstorphine AAC,M50,3:25:57
2004,67,M Diver,Clydesdale,M,3:26:53
2004,68,K Rumgay,Lochaber AC,M,3:27:05
2004,69,K Beaty,Cumberland FR,F40,3:27:12
2004,70,K Wood,Saltwell Harriers,M40,3:27:14
2004,71,G Carracher,Carnethy,M40,3:27:17
2004,72,D Theaker,Helensburgh AAC,M40,3:28:37
2004,73,E Burns,Shettleston,M40,3:28:49
2004,74,G Thomson,Preston,M40,3:29:05
2004,75,G Bryan-jones,Ochil HR,M60,3:29:11
2004,76,J Donnely,Westerlands,M40,3:29:24
2004,77,I Normand,Hunters Bog Trotters,M,3:29:33
2004,78,C Davis,Bowland Fell Runners,M40,3:30:00
2004,79,O Kershaw,Saddleworth,M40,3:30:15
2004,80,B Shaw,Calderglen Harriers,M40,3:30:40
2004,81,R Bellaries,Clayton-le-moors,M50,3:30:55
2004,82,R Sutcliffe,Calderglen Harriers,M50,3:31:38
2004,83,S Taylor,Bingley Harriers,F,3:31:49
2004,84,I Cowie,Mercia,M40,3:31:50
2004,85,D Armitage,Cosmics,M50,3:32:30
2004,86,T Brannan,Unattached,M40,3:32:51
2004,87,L Burt,Fife AC,F40,3:32:52
2004,88,N Paton,Carnethy,M50,3:33:52
2004,89,D Ward,Cumberland FR,M,3:34:21
2004,90,A Mcguire,Fife AC,M50,3:34:33
2004,91,H Chambers,Saddleworth,M40,3:35:34
2004,92,G Henry,Portobello,M,3:35:39
2004,93,S Templeman,Ochil HR,M,3:35:54
2004,94,C Kenny,Calderglen Harriers,F40,3:35:59
2004,95,J Underwood,Calderglen Harriers,M,3:36:00
2004,96,N Thompson,Keswick,M,3:36:37
2004,97,J Nuttal,Clayton-le-moors,M60,3:38:00
2004,98,G Barrie,Dundee Road Runners,M,3:38:48
2004,99,A Welsh,Bowland Fell Runners,M40,3:39:12
2004,100,C Taylor,Mercia,M40,3:39:43
2004,101,R Mcinroy,Helensburgh AAC,M50,3:40:37
2004,102,J Duffy,Shettleston,M40,3:40:48
2004,103,I Cumming,Corstorphine AAC,M50,3:41:06
2004,104,M Macleod,Westerlands,M50,3:41:41
2004,105,I Warhurst,Pennine Fell Runners,M40,3:42:05
2004,106,B Waterhouse,Saddleworth,M50,3:42:57
2004,107,N Wallis,Dark Peak,M,3:43:50
2004,108,H Diamantides,Carnethy,F,3:44:08
2004,109,J Galbraith,Giffnock North,M40,3:44:29
2004,110,P Covey,Pudsley And Bramley,M60,3:44:56
2004,111,J Hall,Unattached,M,3:45:20
2004,112,Y Trimadis,Bowland Fell Runners,M50,3:45:38
2004,113,A Duncan,Bowland Fell Runners,M50,3:46:01
2004,114,C Sharp Love,Dundee Road Runners,M60,3:46:05
2004,115,D Bearhop,Carnethy,M40,3:47:04
2004,116,D Reid,Westerlands,M40,3:47:38
2004,117,S Mitchell,Unattached,F40,3:48:15
2004,118,M James,Carnethy,M,3:48:24
2004,119,G Gutteridge,Cosmics,M50,3:48:25
2004,120,G Bain,Moray Road Runners,M40,3:48:32
2004,121,J Whitehead,City Of Edinburgh AC,F,3:48:38
2004,122,D Law,Corstorphine AAC,M40,3:49:10
2004,123,P Baxter,Westerlands,M40,3:49:27
2004,124,D Mitchell,Dundee Road Runners,M40,3:49:34
2004,125,B Calvert,Unattached,M50,3:49:57
2004,126,J Hall,Highland HR,M50,3:49:58
2004,127,B Waldie,Carnethy,M60,3:51:25
2004,128,C Larmour,Cosmics,M,3:52:48
2004,129,L Holland,Unattached,M,3:54:44
2004,130,I Armstrong,Carn,M,3:55:03
2004,131,G Armstrong,H.e.l.p.,M60,3:55:42
2004,132,H Thorburn,Dark Peak,F,3:57:02
2004,133,J Hope,Pudsley And Bramley,M50,3:57:07
2004,134,M Keegan,Carnethy,F40,3:58:03
2004,135,M Mcloughlin,Preston,M50,3:59:08
2004,136,N Rose,Carnethy,M60,3:59:40
2004,137,M Clarke,Gala Harriers,M40,4:00:01
2004,138,G Cowie,Moray Road Runners,M50,4:00:33
2004,139,M Clewes,Mercia,M40,4:03:37
2004,140,M Stewart,Esoc,M40,4:04:30
2004,141,N Fellowes,Eryri,F,4:05:27
2004,142,P Hill,Lanark Multisport,M40,4:06:15
2004,143,S Kleeman,Westerlands,F,4:06:19
2004,144,I Ridgway,Westerlands,M,4:06:20
2004,145,J Knox,Teviotdale Harriers,M50,4:06:38
2004,146,N Worswick,Clayton-le-moors,M,4:06:40
2004,147,A Ross,Unattached,M,4:06:49
2004,148,D Hardy,Pudsley And Bramley,F,4:07:24
2004,149,D Atkin,Garscube Harriers,M40,4:10:05
