Year,Pos,Name,Club,Cat,Time
1999,1,Greg Barbour,Cosmics,M,2:51:53
1999,2,John Coyle,Solway,M,2:53:32
1999,3,Adrian Davis,Carnethy,M,2:54:03
1999,4,Dermot Mcgonigle,Shettleston,M,2:54:32
1999,5,Nick Barrable,Jesus Orienteering C,M,2:55:01
1999,6,John Hepburn,Lochaber AC,M,2:59:10
1999,7,Ronnie Gallagher,Westerlands,M,3:00:15
1999,8,Stewart Whitlie,Carnethy,M,3:02:50
1999,9,Dougie Gillespie,Solway,M,3:06:06
1999,10,Mark Seddon,Glossopdale,M,3:07:05
1999,11,Keith Varney,Cosmics,M40,3:07:14
1999,12,Donald Naylor,Hunters Bog Trotters,M,3:07:44
1999,13,Al Hart,Hunters Bog Trotters,M,3:09:23
1999,14,Adam Ward,Carnethy,M,3:09:58
1999,15,John Emeleus,Shettleston,M,3:11:40
1999,16,John Smallwood,Hunters Bog Trotters,M,3:12:17
1999,17,Allan Miller,Kenda,M40,3:12:40
1999,18,Nigel Wright,Jesus Orienteering C,M,3:14:51
1999,19,Duncan Archer,Jesus Orienteering C,M,3:16:29
1999,20,Gus Hunter,Dundee Road Runners,M40,3:17:26
1999,21,John Donnelly,Shettleston,M,3:17:53
1999,22,Martin Laing,Fife AC,M40,3:19:44
1999,23,Phil Mowbray,Hunters Bog Trotters,M,3:22:47
1999,24,John Blair-fish,Carnethy,M40,3:23:32
1999,25,Peter Heath,Shettleston,M,3:25:45
1999,26,Jim Knox,Teviotdale Harriers,M,3:26:26
1999,27,Ian Harkness,Hunters Bog Trotters,M,3:26:31
1999,28,David Schofield,Rossendale,M40,3:26:32
1999,29,Jim Meek,Fife AC,M,3:28:50
1999,30,Charlie Love,Dundee Road Runners,M,3:28:58
1999,31,Geoff Simpson,Hunters Bog Trotters,M,3:30:05
1999,32,Carl Pryce,Cosmics,M,3:33:04
1999,33,John Withington,Unattached,M,3:33:06
1999,34,Tom Ross,Fife AC,M,3:34:08
1999,35,Colin Farquharson,Hunters Bog Trotters,M40,3:34:23
1999,36,Derek Schofield,Rossendale,M40,3:35:09
1999,37,Jerry Hadwin,Cosmics,M,3:38:01
1999,38,Tom Harley,H.e.l.p.,M40,3:38:37
1999,39,Colin Brash,Girvan AAC,M,3:39:25
1999,40,Willie Gibson,Carnethy,M40,3:39:41
1999,41,Murdo Macleod,Westerlands,M40,3:40:37
1999,42,Megan Clark,Hunters Bog Trotters,F,3:41:04
1999,43,Ross Mcinroy,Clydesdale,M40,3:41:44
1999,44,Gordon Robinson,Westerlands,M,3:45:36
1999,45,Peter Baxter,Westerlands,M40,3:47:18
1999,46,David Duncan,Ochil HR,M40,3:48:04
1999,47,David Stewart,Dundee Road Runners,M,3:51:54
1999,48,Keith Burns,Carnethy,M,3:52:02
1999,49,George Doonan,Westerlands,M,3:52:26
1999,50,Chris Hatton,Helsby,M40,3:52:34
1999,51,Brian Howie,City Of Edinburgh AC,M40,3:55:01
1999,52,Tony Ritchie,Westerlands,M,3:55:14
1999,53,Elspeth Scott,Westerlands,F40,3:55:26
1999,54,Brian Jackson,Clayton-le-moors,M,3:56:17
1999,55,Encarna Maturana,Cosmics,F,3:56:39
1999,56,Moira Stewart,Carnethy,F40,3:57:13
1999,57,Malcolm Maclachlan,Carnethy,M,3:57:14
1999,58,John Littlewood,Carnethy,M,3:57:50
1999,59,Matthew Bryant,Thames Hare & Hounds,M,3:59:25
1999,60,Peter Ferguson,Inverness Harriers,M40,4:00:09
1999,61,Ross Hope,H.e.l.p.,M,4:00:55
1999,62,Shelley Farrar,Cosmics,F,4:01:13
1999,63,Duncan Mcguire,Fife AC,M,4:01:32
1999,64,Don Reid,Westerlands,M40,4:05:10
1999,65,Debbie Thompson,Keswick,F40,4:06:09
1999,66,Katy Boocock,Cosmics,F40,4:06:54
1999,67,Bill Gauld,Carnethy,M,4:09:41
1999,68,Gheorghe Muresan,Cosmics,M,4:09:42
1999,69,Ron Mcgill,Dundee Road Runners,M40,4:11:53
1999,70,Deborah Macdonald,Hunters Bog Trotters,F40,4:12:13
1999,71,Jim Paxton,Gala Harriers,M40,4:12:26
1999,72,Bob Hughes,Ochil HR,M40,4:14:09
1999,73,Jim Mcwhinnie,Carnethy,M40,4:16:16
1999,74,Suzanne Gilchrist,Gala Harriers,F,4:20:14
1999,75,Alex Menarry,Carnethy,M,4:23:40
1999,76,Ian Turner,Solway,M,4:28:38
1999,77,Glyn Jones,Gallows,M40,4:31:54
1999,78,Drew Turnbull,Westerlands,M,4:32:43
1999,79,Elaine Stewart,Cosmics,F40,4:33:08
1999,80,Don Adam,Fife AC,M,4:33:18
1999,81,Nigel Rose,Carnethy,M,4:34:48
1999,82,Peter Buchan,Fife AC,M,4:34:51
1999,83,Norman Dunning,Unattached,M40,4:36:10
1999,84,Noreen Jennison,Westerlands,F,4:41:29
1999,85,Frank William Cation,Fife AC,M,4:43:18
1999,86,Ian Patterson,Whisky Chasers,M,4:43:58
1999,87,Chris Hall,Roxburgh Reivers,M,4:44:19
1999,88,Donald Smith,Westerlands,M,4:53:09
1999,89,John Duthie,Unattached,M40,4:54:20
1999,90,John Wilkins,Arbroath Footers,M,4:57:48
1999,91,Alison Strachan,Dundee Road Runners,F,4:58:15
1999,92,Brian Armstrong,Whisky Chasers,M,4:58:53
1999,93,Maurice Paxton,Perth Road Runners,M40,5:00:04
1999,94,Iain Murray Reid,H.e.l.p.,M40,5:00:52
1999,95,Hsu Ming Chung,Thames Hare & Hounds,F,5:02:22
1999,96,Angelith Hart,Unattached,F,5:02:23
1999,97,Alex Nicol,Carn,M,5:05:07
1999,98,Jim Drummond,Central AC,M40,5:05:07
1999,99,Sally Ibbotson,Dundee Road Runners,F40,5:09:10
1999,100,Emma Dawber,East Hull Harriers,F,5:09:10
1999,101,Sean Davidson,Penicuik Barriers,M,5:09:49
1999,102,Dick Wall,Hunters Bog Trotters,M,5:11:55
1999,103,Jim Mcwhir,Unattached,M40,5:15:53
1999,104,Gordon Clark,Arbroath Footers,M,5:19:54
1999,105,Colette Tibke,Rossendale,F40,5:23:44
1999,106,Peter Halliday,H.e.l.p.,M40,5:32:42
1999,107,Shelagh King,Clydesdale,F,6:01:42
