Year,Pos,Name,Club,Cat,Time
1991,125,T Higgs,Dallam SA,M,4:04:08
1991,126,F Cation,Fife AC,M40,4:06:50
1991,127,M Tinker,Teviotdale Harriers,M40,4:12:12
1991,128,A Biltcliffe,Dundee Road Runners,M40,4:12:12
1991,129,R Jaggar,Westerlands,M,4:16:11
1991,130,A Carrington,Shelton Striders,F,4:16:40
1991,131,M Wynne,Unattached,M,4:16:40
1991,132,R Cranston,Hunters Bog Trotters,M,4:16:45
1991,133,P Armitage,Aberdeen AAC,M,4:16:45
1991,134,G Little,Unattached,M40,4:21:15
1991,135,C Love,Dundee Road Runners,M40,4:24:21
1991,136,W Hunter,Lothian,M,4:30:08
1991,137,J Deakin,British Orienteers Squad,F,4:32:23
1991,138,S Peel,British Orienteers Squad,F,4:32:23
1991,139,N Best,Cambridge UNI,F,4:35:32
1991,140,M Sneddon,Carnethy,M,4:50:49
1991,141,H Chalmers,Unattached,M,4:50:49
1991,142,S Smith,Preston,M,4:57:35
1991,143,M Fox,Arbroath Footers,M,4:57:36
1991,144,F Gourlay,Unattached,M,4:57:39
1991,145,M Simon,Preston,M,5:13:26
1991,146,M Small,Clydesdale,F,5:25:39
1991,147,J Coon,Livingston & District,M40,5:25:40
