Year,Pos,Name,Club,Cat,Time
1993,1,A Trigg,Glossopdale,M,2:41:51
1993,2,P Hague,British Orienteers Squad,M,2:42:32
1993,3,D Weir,Perth Road Runners,M,2:45:26
1993,4,M Seddon,British Orienteers Squad,M,2:45:37
1993,5,T Griffin,Westerlands,M,2:45:54
1993,6,P Sheard,Pudsley And Bramley,M,2:46:31
1993,7,G Ackland,Livingston & District,M,2:48:04
1993,8,P Dymoke,Livingston & District,M,2:51:50
1993,9,S Green,Pudsley And Bramley,M,2:51:58
1993,10,J Wilkinson,Gala Harriers,M,2:52:33
1993,11,G Hull,Leeds City,M,2:53:26
1993,12,D Blackhurst,Rossendale,M,2:53:45
1993,13,A Davis,Fife AC,M,2:54:38
1993,14,D Bell,H.e.l.p.,M40,2:54:56
1993,15,D Cummins,Unattached,M,2:55:27
1993,16,A Ward,Edinburgh AC,M,2:56:03
1993,17,A Lewsley,Keswick,M,2:56:31
1993,18,R Lee,Livingston & District,M,2:58:05
1993,19,R Brown,Hunters Bog Trotters,M,2:58:37
1993,20,H Hutchinson,Edinburgh AC,M,2:59:20
1993,21,I Wallace,Hunters Bog Trotters,M,3:01:22
1993,22,B Roberts,Mandal,M,3:03:11
1993,23,J Blair-fish,Carnethy,M40,3:03:35
1993,24,A Keith,Hunters Bog Trotters,M,3:05:13
1993,25,T Rowley,Manx F,M,3:05:22
1993,26,P Fox,Dundee Road Runners,M,3:05:56
1993,27,R Mcinroy,Clydesdale,M40,3:06:28
1993,28,R Boswell,Lochaber AC,M40,3:07:32
1993,29,R Hackett,Carnethy,M,3:07:49
1993,30,D Simmons,Livingston & District,M,3:08:50
1993,31,M Hayman,British Orienteers Squad,M,3:09:22
1993,32,D Sheill,Carnethy,M,3:09:36
1993,33,S Wells,Westerlands,M,3:09:41
1993,34,T Ross,Fife AC,M40,3:11:04
1993,35,A Belton,Macclesfield,M,3:11:15
1993,36,D Bell,H.e.l.p.,M,3:11:27
1993,37,M Forrest,Claremont RR,M,3:11:38
1993,38,J Thin,Carnethy,M,3:12:04
1993,39,S Balfour,Livingston & District,M40,3:12:09
1993,40,J Hutton,Arbroath Footers,M,3:12:18
1993,41,D Hirst,Deeside Runners,M,3:12:23
1993,42,R Townsend,Unattached,M,3:12:37
1993,43,C Shaw,Westerlands,M40,3:12:44
1993,44,G Armstrong,H.e.l.p.,M,3:12:45
1993,45,C Eades,Livingston & District,M,3:13:06
1993,46,J Maitland,Pudsley And Bramley,M,3:13:22
1993,47,H Diamantides,Westerlands,F,3:13:41
1993,48,C Love,Dundee Road Runners,M,3:15:14
1993,49,A Spenceley,Carn,M,3:16:34
1993,50,L Fortune,Fife AC,M40,3:17:24
1993,51,A Graham,Lomond Hill Runners,M40,3:17:37
1993,52,J Donnelly,Shettleston,M,3:17:47
1993,53,R Ansell,Dark Peak,M,3:18:11
1993,54,D Amour,Highland HR,M,3:19:14
1993,55,J Holden,Fife AC,M40,3:19:36
1993,56,B Waldie,Carnethy,M,3:21:20
1993,57,K White,Westerlands,M40,3:22:16
1993,58,U Jessop,Unattached,M,3:22:34
1993,59,I Donnelly,Law And District,M40,3:22:39
1993,60,P Morrison,Carn,M,3:23:37
1993,61,R Blamire,Stewartry,M40,3:23:53
1993,62,C Burke,Lostock AC,M,3:23:59
1993,63,A Mcguire,Fife AC,M40,3:24:38
1993,64,D Crowe,Shettleston,M,3:25:25
