Year,Pos,Name,Club,Cat,Time
1998,1,D Naylor,Hunters Bog Trotters,M,2:58:12
1998,2,J Blackett,Cosmics,M,2:58:33
1998,3,A Davis,Carnethy,M,2:58:50
1998,4,A Keith,Hunters Bog Trotters,M,2:59:06
1998,5,D Mcgonigle,Shettleston,M,3:03:12
1998,6,D Crowe,Shettleston,M,3:06:15
1998,7,E Mackay,Ochil HR,M,3:07:23
1998,8,A Wilson,Dundee Road Runners,M,3:08:21
1998,9,L Thomson,Clayton-le-moors,M,3:10:13
1998,10,J Holt,Clayton-le-moors,M40,3:10:24
1998,11,A Dytch,Westerlands,M40,3:17:06
1998,12,B Waldie,Carnethy,M,3:17:22
1998,13,A Mudge,Carnethy,F,3:19:05
1998,14,M Gorman,Westerlands,M,3:19:38
1998,15,J Clark,Ochil HR,M,3:19:59
1998,16,J Donnely,Shettleston,M,3:20:20
1998,17,D Duncan,Ochil HR,M40,3:20:34
1998,18,C Campbell,Westerlands,M,3:22:14
1998,19,C Eades,Livingston & District,M,3:22:49
1998,20,S Bell,Westerlands,M,3:24:00
1998,21,M Monckton,Ochil HR,M,3:26:50
1998,22,S Whitaker,Clayton-le-moors,M,3:27:14
1998,23,M Macleod,Westerlands,M40,3:28:08
1998,24,W Gibson,Carnethy,M40,3:29:32
1998,25,R Gallagher,Westerlands,M,3:33:08
1998,26,M Creber,Carnethy,F40,3:33:12
1998,27,K Jenkins,Carnethy,F,3:33:36
1998,28,P Baxter,Westerlands,M40,3:35:40
1998,29,C Love,Dundee Road Runners,M,3:36:45
1998,30,P Heath,Lothian,M,3:37:28
1998,31,P Forte,Dundee Road Runners,M40,3:38:47
1998,32,K Whyte,Lochaber AC,M40,3:39:07
1998,33,C Brown,Ochil HR,M,3:39:48
1998,34,W Mykura,Carnethy,M,3:40:16
1998,35,J Wilkinson,Shettleston,M,3:42:00
1998,36,M Macintosh,Ochil HR,F,3:43:17
1998,37,A Mcguire,Fife AC,M40,3:44:19
1998,38,S Dempsey,Livingston & District,M40,3:44:32
1998,39,G Pryde,Lomond Hill Runners,M40,3:45:04
1998,40,R Wall,Hunters Bog Trotters,M40,3:45:48
1998,41,M Hutcheson,Perth Road Runners,M,3:48:16
1998,42,E Scott,Westerlands,F,3:50:10
1998,43,T Ritchie,Westerlands,M,3:50:39
1998,44,B Hunter,Lothian,M40,3:51:24
1998,45,K Clark,Carnethy,M,3:51:24
1998,46,D Reid,Westerlands,M40,3:52:08
1998,47,E Dealtry,Ochil HR,M,3:52:14
1998,48,M Shaw,Unattached,M,3:52:25
1998,49,M Stone,Keswick,M40,3:52:29
1998,50,J Lang,Carn,M40,3:52:49
1998,51,I Mills,Anster Haddies,M,3:54:23
1998,52,G Cameron,Carnethy,M40,3:55:27
1998,53,P Morris,Carnethy,M40,3:57:12
1998,54,B Howie,Unattached,M40,4:00:44
1998,55,D Macdonald,Hunters Bog Trotters,F40,4:03:13
1998,56,B Gauld,Carnethy,M,4:04:46
1998,57,D Lockwood,Unattached,M,4:04:56
1998,58,D Thomson,Keswick,F40,4:05:26
1998,59,G Barker,Fife AC,M40,4:06:02
1998,60,N Rose,Carnethy,M,4:06:30
1998,61,A Campbell,Westerlands,M40,4:06:45
1998,62,E Harvey,Carnethy,M,4:07:39
1998,63,G Stewart,Carnethy,M,4:08:06
1998,64,A Wadsworth,Hunters Bog Trotters,M,4:08:53
1998,65,T Ross,Fife AC,M,4:09:21
1998,66,J Mcwhinnie,Carnethy,M,4:09:59
1998,67,B Jackson,Clayton-le-moors,M,4:11:29
1998,68,R White,Carnethy,M40,4:12:02
1998,69,M Stewart,Carnethy,F40,4:12:05
1998,70,R Sloan,Carnethy,M,4:12:20
1998,71,L Volkwerk,Lochaber AC,M,4:12:44
1998,72,A Nimmo,Carnethy,F,4:13:45
1998,73,K Doonan,Westerlands,M,4:21:34
1998,74,S Templeman,Ochil HR,M,4:23:34
1998,75,N Dyson,Ochil HR,M,4:23:39
1998,76,I Mcmanus,Irvine Athletic,M,4:24:09
1998,77,F Cadger,Perth Road Runners,M40,4:27:41
1998,78,A Meiklejohn,Fife AC,M,4:31:15
1998,79,D Adam,Fife AC,M,4:31:19
1998,80,F Cation,Fife AC,M,4:31:20
1998,81,K Mcguire,Fife AC,M40,4:31:37
1998,82,G Clarke,Ochil HR,M40,4:39:30
1998,83,I Reid,H.e.l.p.,M40,4:39:31
1998,84,R Richardson,Cosmics,M,4:41:08
1998,85,N Dunning,Unattached,M40,4:44:29
1998,86,S Micalizzi,Carnethy,F,4:45:07
1998,87,J Woods,Carn,M,4:45:22
1998,88,N Watson,Cosmics,M,4:49:19
1998,89,A West,Carn,F,4:51:28
1998,90,S Kuz,Carn,M40,4:51:34
1998,91,N West,Carn,M40,4:51:38
1998,92,I Struthers,Westerlands,M40,4:54:22
1998,93,C Watkins,Blackhill Bound,M,4:56:12
1998,94,S Gilchrist,Gala Harriers,F,4:58:09
1998,95,C Hall,Roxburgh Reivers,M,4:58:16
1998,96,C Lane,Road Runners Club,M,4:58:33
1998,97,M Corrie,East Lothian Oriente,M,5:12:58
1998,98,D Scott,H.e.l.p.,M40,5:12:59
1998,99,M Pearson,Tweeddale AC,M,5:14:04
1998,100,F Mclaren,Fife AC,M40,5:24:27
1998,101,M Mclaren,Fife AC,F40,5:24:27
1998,102,J Wightman,Carnethy,F,5:27:36
1998,103,J Robertson,Milburn Harriers,M,5:27:36
1998,104,J Drummond,Central AC,M40,5:27:36
1998,105,C Bedson,Unattached,M,5:32:11
