FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Moran,Colm,Carnethy HRC,M,00:05:07
2,McKenna,Bryan,Carnethy HRC,M40,00:05:26
3,Hooper,Sam,Carnethy HRC,M,00:05:27
4,Cox,Joe,Carnethy HRC,M,00:05:27
5,Shaw,Ruairidh,Lochaber AC,M,00:05:27
6,Harris,Tom,Fife AC,M,00:05:32
7,Wilson,Felix,Carnethy HRC,M,00:05:33
8,Walls,David,Carnethy HRC,M,00:05:34
9,Brodie,Stuart,Ochil Hill Runners,M40,00:05:45
10,Atkinson,Emily,Haddington RC,F,00:06:05
11,Dwyfor,Dyfan,Carnethy HRC,M,00:06:07
12,Robson,Scott,Carnethy HRC,M,00:06:08
13,Atkinson,Joel,Haddington RC,M,00:06:12
14,Mitchell,Rob,Carnethy HRC,M,00:06:12
15,Mackinnon,Gordon,Unattached,M40,00:06:13
16,Campbell,Donald,Unattached,M40,00:06:18
17,Wheeler,Gareth,Carnethy HRC,M,00:06:23
18,Kinninmonth,Alex,Carnethy HRC,M40,00:06:27
19,Thomas,Haydn,Carnethy HRC,M,00:06:33
20,Harley,Bridget,Unattached,F,00:06:41
21,McKiddie,Christopher,Westerlands CCC,M40,00:06:44
22,Reid,Fraser,Westerlands CCC,M,00:06:50
23,Reid,Don,Westerlands CCC,M60,00:06:50
24,Wilkinson,Owen,Carnethy HRC,M,00:07:02
25,Knox,Lizzie,Carnethy HRC,F,00:07:06
26,Shepherd,Rozy,Carnethy HRC,F,00:07:07
27,Elder,Alan,Moorfoot Runners,M60,00:07:17
28,McClelland,Morag,HBT,F,00:07:20
29,Ellis,Alice,Unattached,F,00:07:26
30,Watts,Sam,Carnethy HRC,M,00:07:29
31,Brown,Grant,Unattached,M,00:07:30
32,Taylor,Harris,Unattached,M,00:07:31
33,Burnett,Neil,Carnethy HRC,M50,00:07:31
34,Coombs,Nathan,Carnethy HRC,M40,00:08:11
35,Rampen,Win,Carnethy HRC,M60,00:08:16
36,Ritchie,James,Carnethy HRC,M,00:08:57
37,Poxon,Gareth,Carnethy HRC,M40,00:08:58
38,Dakin,Pippa,Carnethy HRC,F,00:09:46
39,Innes,Nicki,Carnethy HRC,F50,00:09:49
40,Droop,Stephanie,Carnethy HRC,F,00:09:50
41,McPherson,Hugh,Tinto Hill Runners,M70,00:13:55
