FinishPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Espie,James,Deeside Runners,M,00:27:00
2,Andrew,Steven,Perth Road Runners,M,00:29:00
3,Marshall,Brian,Haddington,M,00:29:36
4,Hinds,Gavin,Garscube Harriers,M,00:30:35
5,White,Katie,Garscube Harriers,F,00:30:40
6,Bradford,Tom,Nook Norton Harriers,M,00:30:53
7,Robertson,Rab,Unattached,M,00:31:09
8,Thomson,Ian,Garscube Harriers,M,00:32:40
9,Williams-Duncan,Sam,Dark Peak Fell Runners,M,00:34:30
10,Kelly,Marion,Garscube Harriers,F,00:35:21
11,Blair,Emma,Garscube Harriers,F,00:35:23
12,Gallagher,Andy,Strathearn Harriers,M,00:35:44
13,Smith,Atholl,Garscube Harriers,M,00:35:47
14,Neilson,Toby,Unattached,M,00:36:21
15,Duncan,David,Ochil Hill Runners,M,00:37:07
16,Healy,Sarah,Musselburgh,F,00:37:12
17,Donaldson,Hazel,Unattached,F,00:37:27
18,Scott,Kath,Garscube Harriers,F,00:37:55
19,Larbert,Joyce,Unattached,F,00:39:45
20,Baillie,Norman,Garscube Harriers,M,00:40:56
21,Howell,Brian,Unattached,M,00:41:39
22,Casey,Morag,Garscube Harriers,F,00:43:18
23,Cox,Mary,Garscube Harriers,F,00:43:43
24,Cromarty,Amy,Garscube Harriers,F,00:46:34
25,Fox-Pitt,Sacha,Unattached,F,00:50:11
